-----------------------------------
Time profiling for the matrix inverse function:
Forward elimination: 0.44s (64.71%)
Backward elimination: 0.24s (35.29%)
Inverse function total: 0.68s (1)
-----------------------------------
Total time for the direct method: 15.38s
Result x is: Matrix [1000][1]:
	[ ,0]	
[422, ]	0.0006569 	
[423, ]	-0.0004542 	
[424, ]	0.0007965 	
[425, ]	0.001198 	
[426, ]	0.0008916 	
[427, ]	0.0004589 	
[428, ]	0.0002114 	
[429, ]	0.0007209 	
[430, ]	0.001128 	
[431, ]	0.001238 	
[432, ]	0.001169 	
[433, ]	0.0005882 	
[434, ]	0.0008241 	
[435, ]	0.00053 	
[436, ]	0.0003755 	
[437, ]	0.0005701 	
[438, ]	-0.0002549 	
[439, ]	-0.0002545 	
[440, ]	0.0002265 	
[441, ]	-0.0001199 	
[442, ]	0.0003587 	
[443, ]	0.001132 	
[444, ]	0.001023 	
[445, ]	0.001255 	
[446, ]	-6.029e-05 	
[447, ]	0.0001344 	
[448, ]	0.0002573 	
[449, ]	0.00128 	
[450, ]	0.0009232 	
[451, ]	-3.494e-05 	
[452, ]	0.0005094 	
[453, ]	0.001241 	
[454, ]	5.891e-05 	
[455, ]	0.0001113 	
[456, ]	0.0001231 	
[457, ]	0.0009269 	
[458, ]	-0.0003907 	
[459, ]	6.135e-05 	
[460, ]	0.001239 	
[461, ]	0.000808 	
[462, ]	-0.0004498 	
[463, ]	0.000796 	
[464, ]	0.0005986 	
[465, ]	0.001367 	
[466, ]	-5.799e-06 	
[467, ]	-3.682e-05 	
[468, ]	-7.273e-05 	
[469, ]	-0.0001363 	
[470, ]	0.001017 	
[471, ]	0.0005878 	
[472, ]	0.0002938 	
[473, ]	0.0004469 	
[474, ]	-2.597e-05 	
[475, ]	0.0002713 	
[476, ]	0.0005956 	
[477, ]	0.001294 	
[478, ]	0.001392 	
[479, ]	0.0004917 	
[480, ]	0.001179 	
[481, ]	0.00147 	
[482, ]	0.0009182 	
[483, ]	-0.0002371 	
[484, ]	0.0009469 	
[485, ]	0.0009725 	
[486, ]	-0.0001812 	
[487, ]	0.0008336 	
[488, ]	-0.0001218 	
[489, ]	-0.0001123 	
[490, ]	0.0008612 	
[491, ]	0.0006986 	
[492, ]	0.000723 	
[493, ]	0.0007648 	
[494, ]	5.964e-05 	
[495, ]	0.0002409 	
[496, ]	6.978e-05 	
[497, ]	0.000212 	
[498, ]	0.000845 	
[499, ]	0.0009553 	
[500, ]	0.0006133 	
[501, ]	0.001227 	
[502, ]	0.001126 	
[503, ]	-0.0004311 	
[504, ]	0.0007313 	
[505, ]	4.521e-05 	
[506, ]	0.0004079 	
[507, ]	-0.0001589 	
[508, ]	-0.0003395 	
[509, ]	0.0006423 	
[510, ]	0.001387 	
[511, ]	0.001475 	
[512, ]	0.001168 	
[513, ]	0.0001482 	
[514, ]	0.0002352 	
[515, ]	0.001111 	
[516, ]	0.0008333 	
[517, ]	0.001033 	
[518, ]	-0.0002855 	
[519, ]	0.0003738 	
[520, ]	5.714e-05 	
[521, ]	-0.0001884 	
[522, ]	0.0003554 	
[523, ]	0.0003486 	
[524, ]	0.0001068 	
[525, ]	0.001009 	
[526, ]	0.00112 	
[527, ]	0.000643 	
[528, ]	-1.013e-05 	
[529, ]	0.000669 	
[530, ]	0.0008463 	
