-----------------------------------
Time profiling for the matrix inverse function:
Forward elimination: 0.45s (65.22%)
Backward elimination: 0.24s (34.78%)
Inverse function total: 0.69s (1)
-----------------------------------
Total time for the iterative method: 4.63s
Result from Jacobi x is 
Matrix [1000][1]:
	[ ,0]	
[633, ]	-1.487e+08 	
[634, ]	-1.488e+08 	
[635, ]	-1.49e+08 	
[636, ]	-1.486e+08 	
[637, ]	-1.49e+08 	
[638, ]	-1.486e+08 	
[639, ]	-1.491e+08 	
[640, ]	-1.485e+08 	
[641, ]	-1.49e+08 	
[642, ]	-1.49e+08 	
[643, ]	-1.488e+08 	
[644, ]	-1.49e+08 	
[645, ]	-1.49e+08 	
[646, ]	-1.487e+08 	
[647, ]	-1.489e+08 	
[648, ]	-1.49e+08 	
[649, ]	-1.488e+08 	
[650, ]	-1.486e+08 	
[651, ]	-1.488e+08 	
[652, ]	-1.487e+08 	
[653, ]	-1.485e+08 	
[654, ]	-1.487e+08 	
[655, ]	-1.49e+08 	
[656, ]	-1.489e+08 	
[657, ]	-1.485e+08 	
[658, ]	-1.487e+08 	
[659, ]	-1.488e+08 	
[660, ]	-1.49e+08 	
[661, ]	-1.487e+08 	
[662, ]	-1.487e+08 	
[663, ]	-1.486e+08 	
[664, ]	-1.49e+08 	
[665, ]	-1.485e+08 	
[666, ]	-1.488e+08 	
[667, ]	-1.49e+08 	
[668, ]	-1.486e+08 	
[669, ]	-1.485e+08 	
[670, ]	-1.485e+08 	
[671, ]	-1.49e+08 	
[672, ]	-1.487e+08 	
[673, ]	-1.49e+08 	
[674, ]	-1.487e+08 	
[675, ]	-1.488e+08 	
[676, ]	-1.488e+08 	
[677, ]	-1.49e+08 	
[678, ]	-1.488e+08 	
[679, ]	-1.489e+08 	
[680, ]	-1.49e+08 	
[681, ]	-1.487e+08 	
[682, ]	-1.486e+08 	
[683, ]	-1.488e+08 	
[684, ]	-1.485e+08 	
[685, ]	-1.489e+08 	
[686, ]	-1.486e+08 	
[687, ]	-1.488e+08 	
[688, ]	-1.487e+08 	
[689, ]	-1.488e+08 	
[690, ]	-1.488e+08 	
[691, ]	-1.486e+08 	
[692, ]	-1.486e+08 	
[693, ]	-1.485e+08 	
[694, ]	-1.486e+08 	
[695, ]	-1.49e+08 	
[696, ]	-1.487e+08 	
[697, ]	-1.487e+08 	
[698, ]	-1.49e+08 	
[699, ]	-1.49e+08 	
[700, ]	-1.488e+08 	
[701, ]	-1.487e+08 	
[702, ]	-1.488e+08 	
[703, ]	-1.486e+08 	
[704, ]	-1.486e+08 	
[705, ]	-1.488e+08 	
[706, ]	-1.489e+08 	
[707, ]	-1.485e+08 	
[708, ]	-1.489e+08 	
[709, ]	-1.49e+08 	
[710, ]	-1.49e+08 	
[711, ]	-1.486e+08 	
[712, ]	-1.488e+08 	
[713, ]	-1.487e+08 	
[714, ]	-1.485e+08 	
[715, ]	-1.49e+08 	
[716, ]	-1.486e+08 	
[717, ]	-1.485e+08 	
[718, ]	-1.487e+08 	
[719, ]	-1.488e+08 	
[720, ]	-1.489e+08 	
[721, ]	-1.485e+08 	
[722, ]	-1.488e+08 	
[723, ]	-1.489e+08 	
[724, ]	-1.485e+08 	
[725, ]	-1.49e+08 	
[726, ]	-1.486e+08 	
[727, ]	-1.487e+08 	
[728, ]	-1.486e+08 	
[729, ]	-1.487e+08 	
[730, ]	-1.488e+08 	
[731, ]	-1.49e+08 	
[732, ]	-1.489e+08 	
[733, ]	-1.488e+08 	
[734, ]	-1.491e+08 	
[735, ]	-1.485e+08 	
[736, ]	-1.49e+08 	
[737, ]	-1.486e+08 	
[738, ]	-1.488e+08 	
[739, ]	-1.489e+08 	
[740, ]	-1.488e+08 	
[741, ]	-1.488e+08 	
[742, ]	-1.485e+08 	
[743, ]	-1.49e+08 	
[744, ]	-1.486e+08 	
[745, ]	-1.491e+08 	
[746, ]	-1.487e+08 	
[747, ]	-1.491e+08 	
[748, ]	-1.487e+08 	
[749, ]	-1.489e+08 	
[750, ]	-1.489e+08 	
[751, ]	-1.49e+08 	
[752, ]	-1.486e+08 	
[753, ]	-1.485e+08 	
[754, ]	-1.487e+08 	
[755, ]	-1.489e+08 	
[756, ]	-1.488e+08 	
[757, ]	-1.488e+08 	
[758, ]	-1.488e+08 	
[759, ]	-1.491e+08 	
[760, ]	-1.488e+08 	
[761, ]	-1.485e+08 	
[762, ]	-1.49e+08 	
[763, ]	-1.486e+08 	
[764, ]	-1.486e+08 	
[765, ]	-1.488e+08 	
[766, ]	-1.487e+08 	
[767, ]	-1.488e+08 	
[768, ]	-1.486e+08 	
[769, ]	-1.486e+08 	
[770, ]	-1.488e+08 	
[771, ]	-1.486e+08 	
[772, ]	-1.49e+08 	
[773, ]	-1.491e+08 	
[774, ]	-1.49e+08 	
[775, ]	-1.485e+08 	
[776, ]	-1.486e+08 	
[777, ]	-1.485e+08 	
[778, ]	-1.49e+08 	
[779, ]	-1.49e+08 	
[780, ]	-1.488e+08 	
[781, ]	-1.488e+08 	
[782, ]	-1.49e+08 	
[783, ]	-1.488e+08 	
[784, ]	-1.49e+08 	
[785, ]	-1.49e+08 	
[786, ]	-1.486e+08 	
[787, ]	-1.488e+08 	
[788, ]	-1.488e+08 	
[789, ]	-1.489e+08 	
[790, ]	-1.489e+08 	
[791, ]	-1.487e+08 	
[792, ]	-1.486e+08 	
[793, ]	-1.49e+08 	
[794, ]	-1.488e+08 	
[795, ]	-1.486e+08 	
[796, ]	-1.49e+08 	
